,Gender,Age,Profession,Region,Work_Experience(yrs),Models_Used,Models1,Models2,Models3,Models4,Models5,Models6,Mode_of_Access,Mode 1,Mode 2,Mode 3,Mode 4,Tasks,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7
0,Female,26 – 35,Pharmacist,Greater Accra,3 – 5 years,ChatGPT,ChatGPT,,,,,,Online Platforms or websites,Online Platforms or websites,,,,"Medical information research, Administrative writing",Medical information research, Administrative writing,,,,,
1,Male,26 – 35,Pharmacist,Greater Accra,3 – 5 years,ChatGPT,ChatGPT,,,,,,Online Platforms or websites,Online Platforms or websites,,,,"Medical information research, Administrative writing",Medical information research, Administrative writing,,,,,
2,Female,18 – 25,Optometrist,Greater Accra,Less than 3 years,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Medical information research,Medical information research,,,,,,
3,Female,18 – 25,Optometrist,Ashanti,Less than 3 years,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Medical information research,Medical information research,,,,,,
4,Female,18 – 25,Medical Doctor,Greater Accra,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,Mobile apps,Mobile apps,,,,,,,,,,,
5,Female,18 – 25,Medical Doctor,Central,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,Mobile apps,Mobile apps,,,,,,,,,,,
6,Male,18 – 25,Dietitian,Volta,Less than 3 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Clinical documentation of patient information, Medical information research, Language translation",Clinical documentation of patient information, Medical information research, Language translation,,,,
7,Male,18 – 25,Dietitian,Greater Accra,Less than 3 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Clinical documentation of patient information, Medical information research, Language translation",Clinical documentation of patient information, Medical information research, Language translation,,,,
8,Male,26 – 35,Pharmacist,Greater Accra,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,Mobile apps,Mobile apps,,,,"Administrative writing, Language translation",Administrative writing, Language translation,,,,,
9,Female,26 – 35,Pharmacist,Greater Accra,3 – 5 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,Mobile apps,Mobile apps,,,,"Administrative writing, Language translation",Administrative writing, Language translation,,,,,
10,Male,26 – 35,Optometrist,Greater Accra,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,Online Platforms or websites,Online Platforms or websites,,,,"Medical information research, Administrative writing",Medical information research, Administrative writing,,,,,
11,Male,26 – 35,Optometrist,Ashanti,Less than 3 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI,,,Online Platforms or websites,Online Platforms or websites,,,,"Medical information research, Administrative writing",Medical information research, Administrative writing,,,,,
12,Male,36 – 45,Medical Doctor,Ashanti,More than 10 years,"ChatGPT, Gemini AI",ChatGPT, Gemini AI,,,,,Online Platforms or websites,Online Platforms or websites,,,,Medical information research,Medical information research,,,,,,
13,Male,36 – 45,Medical Doctor,Volta,More than 10 years,"ChatGPT, Gemini AI",ChatGPT, Gemini AI,,,,,Online Platforms or websites,Online Platforms or websites,,,,Medical information research,Medical information research,,,,,,
14,Female,26 – 35,Psychologist,Greater Accra,6 – 10 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Administrative writing, Therapy decision support",Medical information research, Administrative writing, Therapy decision support,,,,
15,Female,26 – 35,Psychologist,Central,6 – 10 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Administrative writing, Therapy decision support",Medical information research, Administrative writing, Therapy decision support,,,,
16,Female,18 – 25,Medical Doctor,Ashanti,Less than 3 years,"ChatGPT, Meta AI, Gemini AI",ChatGPT, Meta AI, Gemini AI,,,,Online Platforms or websites,Online Platforms or websites,,,,Medical information research,Medical information research,,,,,,
17,Female,18 – 25,Medical Doctor,Bono East,Less than 3 years,"ChatGPT, Meta AI, Gemini AI",ChatGPT, Meta AI, Gemini AI,,,,Online Platforms or websites,Online Platforms or websites,,,,Medical information research,Medical information research,,,,,,
18,Female,26 – 35,Medical Doctor,Greater Accra,Less than 3 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Research work,Research work,,,,,,
19,Female,26 – 35,Medical Doctor,Ashanti,Less than 3 years,"ChatGPT, Meta AI",ChatGPT, Meta AI,,,,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,Research work,Research work,,,,,,
20,Male,36 – 45,Medical Doctor,Ashanti,More than 10 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,Online Platforms or websites,Online Platforms or websites,,,,Medical information research,Medical information research,,,,,,
21,Male,36 – 45,Medical Doctor,Greater Accra,More than 10 years,"ChatGPT, Microsoft Copilot, Meta AI",ChatGPT, Microsoft Copilot, Meta AI,,,,Online Platforms or websites,Online Platforms or websites,,,,Medical information research,Medical information research,,,,,,
22,Male,36 – 45,Pharmacist,Bono East,More than 10 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI, Quillbot",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI, Quillbot,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Administrative writing",Medical information research, Administrative writing,,,,,
23,Male,36 – 45,Pharmacist,Ashanti,More than 10 years,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI, Quillbot",ChatGPT, Microsoft Copilot, Meta AI, Gemini AI, Quillbot,,"Online Platforms or websites, Mobile apps",Online Platforms or websites, Mobile apps,,,"Medical information research, Administrative writing",Medical information research, Administrative writing,,,,,
