,Gender,Age,Profession,Region,Work_Experience(yrs),Pre-study Awareness,Models_Used,Participant Understanding Rating,Participant Understanding Rating_encoded,Access,Mode_of_Access,Use_Consideration,Use,Tasks,LLM_Duration(mins),CCL_Duration(mins),Preference,LLM_Adv,CCL_Adv,Impact_Areas,Recommendations,Track_Important_Details,Find_Quick_Answers,Brainstorm_&_Diagnose,Generate_Prescriptions,Summarise_Research_Articles,Create_Educational_Materials,Treatment_Recommendations,CCL_Find_Quick_Answers,CCL_Brainstorm_&_Diagnose,CCL_Generate_Prescriptions,CCL_Summarise_Research_Articles,CCL_Create_Educational_Materials,CCL_Treatment_Recommendations,Understanding_Rate,Understanding_Rate_encoded,Value,Efficiency,Safety,Reliabilty
0,Female,26 – 35,Pharmacist,Greater Accra,3 – 5 years,Yes,ChatGPT,2 -  I know a bit about LLMs but not a lot,Moderate,Yes,Online Platforms or websites,No,Yes,"Medical information research, Administrative writing",5,60,No,,Accurate and evidence-based,Patient Education,,Never,Always,Occasionally,Never,Always,Occasionally,Frequently,Always,"Occasionally, Frequently",Never,Never,Occasionally,Always,High,3 -  I know a good amount about LLMs and can talk about it confidently,Strongly Agree,Agree,Disagree,Strongly Agree
1,Male,26 – 35,Pharmacist,Greater Accra,3 – 5 years,Yes,ChatGPT,2 -  I know a bit about LLMs but not a lot,Moderate,Yes,Online Platforms or websites,No,Yes,"Medical information research, Administrative writing",5,60,No,,Accurate and evidence-based,Patient Education,,Never,Always,Occasionally,Never,Always,Occasionally,Frequently,Always,"Occasionally, Frequently",Never,Never,Occasionally,Always,High,3 -  I know a good amount about LLMs and can talk about it confidently,Strongly Agree,Agree,Disagree,Strongly Agree
2,Female,18 – 25,Optometrist,Greater Accra,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI",4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,Very High,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,Medical information research,120,420,No,,,,,Never,Never,Rarely,Never,Occasionally,Always,Never,Always,Always,Always,Always,Always,Always,High,3 -  I know a good amount about LLMs and can talk about it confidently,Strongly Agree,Agree,Neutral,Disagree
3,Female,18 – 25,Optometrist,Ashanti,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI",4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,Very High,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,Medical information research,120,420,No,,,,,Never,Never,Rarely,Never,Occasionally,Always,Never,Always,Always,Always,Always,Always,Always,High,3 -  I know a good amount about LLMs and can talk about it confidently,Strongly Agree,Agree,Neutral,Disagree
4,Female,18 – 25,Medical Doctor,Greater Accra,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,No,Mobile apps,No,No,,5,15,Neutral,,,Administrative work,,Never,Never,Never,Never,Never,Never,Never,Frequently,Occasionally,Occasionally,Frequently,Frequently,"Occasionally, Frequently",Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Neutral,Disagree,Neutral
5,Female,18 – 25,Medical Doctor,Central,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,Moderate,No,Mobile apps,No,No,,5,15,Neutral,,,Administrative work,,Never,Never,Never,Never,Never,Never,Never,Frequently,Occasionally,Occasionally,Frequently,Frequently,"Occasionally, Frequently",Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Neutral,Disagree,Neutral
6,Male,18 – 25,Dietitian,Volta,Less than 3 years,Yes,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",No,Yes,"Clinical documentation of patient information, Medical information research, Language translation",120,60,Neutral,Speed and Efficiency,,,,Occasionally,Never,Rarely,Rarely,Frequently,Frequently,Occasionally,Never,Rarely,Never,Never,Rarely,Rarely,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Agree,Agree,Disagree
7,Male,18 – 25,Dietitian,Greater Accra,Less than 3 years,Yes,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,Moderate,Yes,"Online Platforms or websites, Mobile apps",No,Yes,"Clinical documentation of patient information, Medical information research, Language translation",120,60,Neutral,Speed and Efficiency,,,,Occasionally,Never,Rarely,Rarely,Frequently,Frequently,Occasionally,Never,Rarely,Never,Never,Rarely,Rarely,Moderate,2 -  I know a bit about LLMs but not a lot,Agree,Agree,Agree,Disagree
8,Male,26 – 35,Pharmacist,Greater Accra,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,Mobile apps,Yes,Maybe,"Administrative writing, Language translation",60,120,No,,Easily Accessible,,,Frequently,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Rarely,Frequently,Always,Frequently,Occasionally,Frequently,Frequently,High,3 -  I know a good amount about LLMs and can talk about it confidently,Strongly Agree,Agree,Agree,Neutral
9,Female,26 – 35,Pharmacist,Greater Accra,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",3 -  I know a good amount about LLMs and can talk about it confidently,High,Yes,Mobile apps,Yes,Maybe,"Administrative writing, Language translation",60,120,No,,Easily Accessible,,,Frequently,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Rarely,Frequently,Always,Frequently,Occasionally,Frequently,Frequently,High,3 -  I know a good amount about LLMs and can talk about it confidently,Strongly Agree,Agree,Agree,Neutral
