,Gender,Age,Profession,Region,Years_of_Experience,Prior_Awareness,Known_Models,Understanding_Rating,Understanding_1,Understanding_2,Understanding_3,Understanding_4,Understanding_5,Access_At_Work,Access_Route,Considered_Use,Use,Specific_Uses,Track_Important_Details,Find_Quick_Answers,Brainstorm_&_Diagnose,Generate_Prescriptions,Summarise_Research_Articles,Create_Educational_Materials,Treatment_Recommendations,Find_Quick_Answers_2,Brainstorm_&_Diagnose_2,Generate_Prescriptions_2,Summarise_Research_Articles_2,Create_Educational_Materials_2,Treatment_Recommendations_2,Daily_LLMs_Usage(mins),Daily_CCLs_Usage(mins),23. LLMs help me achieve my healthcare delivery goals. ,24. LLMs reduce my workload and save me time.,25. LLMs help me make informed and timely decisions.,26. LLMs keep me updated on healthcare related information.,27. LLMs are easily accessible and user-friendly. ,28. LLMs are trusted tools that uphold patient privacy and confidentiality. ,29. I am willing to take decisions based on the recommendations provided by LLMs.,30. The benefits of using LLMs outweigh any potential risks.,31. I am satisfied with LLMs.  ,32. I will recommend the use of LLMs by my colleagues in healthcare delivery. ,Preference,LLMs_Preferred_Aspects,CCLs_Preferred_Aspects,Areas_Of_Impact,Suggested_Improvement
0,Female,26 – 35,Pharmacist,Greater Accra,3 – 5 years,Yes,ChatGPT,2 -  I know a bit about LLMs but not a lot,5,5,5,1,5,Yes,Online Platforms or websites,No,Yes,"Medical information research, Administrative writing",Never,Always,Occasionally,Never,Always,Occasionally,Frequently,Always,"Occasionally, Frequently",Never,Never,Occasionally,Always,5,60,3,5,5,4,5,1,4,2,5,5,No,,The strength of evidence is easier to decipher with traditional sources,Medication use and information sheet generation for individual patients,
1,Male,26 – 35,Pharmacist,Greater Accra,3 – 5 years,Yes,ChatGPT,2 -  I know a bit about LLMs but not a lot,5,5,5,1,5,Yes,Online Platforms or websites,No,Yes,"Medical information research, Administrative writing",Never,Always,Occasionally,Never,Always,Occasionally,Frequently,Always,"Occasionally, Frequently",Never,Never,Occasionally,Always,5,60,3,5,5,4,5,1,4,2,5,5,No,,The strength of evidence is easier to decipher with traditional sources,Medication use and information sheet generation for individual patients,
2,Female,18 – 25,Optometrist,Greater Accra,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI",4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,5,1,5,1,1,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,Medical information research,Never,Never,Rarely,Never,Occasionally,Always,Never,Always,Always,Always,Always,Always,Always,120,420,3,4,3,4,5,4,1,2,3,3,No,,,,
3,Female,18 – 25,Optometrist,Ashanti,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Google’s BERT, Meta AI, Gemini AI",4 -  I have extensive knowledge about LLMs and I am considered an expert in its use,5,1,5,1,1,Yes,"Online Platforms or websites, Mobile apps",Yes,Yes,Medical information research,Never,Never,Rarely,Never,Occasionally,Always,Never,Always,Always,Always,Always,Always,Always,120,420,3,4,3,4,5,4,1,2,3,3,No,,,,
4,Female,18 – 25,Medical Doctor,Greater Accra,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,2,4,4,2,4,No,Mobile apps,No,No,,Never,Never,Never,Never,Never,Never,Never,Frequently,Occasionally,Occasionally,Frequently,Frequently,"Occasionally, Frequently",5,15,3,3,3,3,4,2,2,3,3,3,Neutral,,,Administrative ,None at the moment 
5,Female,18 – 25,Medical Doctor,Central,Less than 3 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,2,4,4,2,4,No,Mobile apps,No,No,,Never,Never,Never,Never,Never,Never,Never,Frequently,Occasionally,Occasionally,Frequently,Frequently,"Occasionally, Frequently",5,15,3,3,3,3,4,2,2,3,3,3,Neutral,,,Administrative ,None at the moment 
6,Male,18 – 25,Dietitian,Volta,Less than 3 years,Yes,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,4,5,4,1,5,Yes,"Online Platforms or websites, Mobile apps",No,Yes,"Clinical documentation of patient information, Medical information research, Language translation",Occasionally,Never,Rarely,Rarely,Frequently,Frequently,Occasionally,Never,Rarely,Never,Never,Rarely,Rarely,120,60,3,4,3,4,4,4,1,3,3,2,Neutral,Quick ,,No,
7,Male,18 – 25,Dietitian,Greater Accra,Less than 3 years,Yes,"ChatGPT, Meta AI",2 -  I know a bit about LLMs but not a lot,4,5,4,1,5,Yes,"Online Platforms or websites, Mobile apps",No,Yes,"Clinical documentation of patient information, Medical information research, Language translation",Occasionally,Never,Rarely,Rarely,Frequently,Frequently,Occasionally,Never,Rarely,Never,Never,Rarely,Rarely,120,60,3,4,3,4,4,4,1,3,3,2,Neutral,Quick ,,No,
8,Male,26 – 35,Pharmacist,Greater Accra,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",3 -  I know a good amount about LLMs and can talk about it confidently,5,5,4,2,4,Yes,Mobile apps,Yes,Maybe,"Administrative writing, Language translation",Frequently,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Rarely,Frequently,Always,Frequently,Occasionally,Frequently,Frequently,60,120,4,5,3,3,5,4,3,3,4,3,No,,Easy access to credible information ,,
9,Female,26 – 35,Pharmacist,Greater Accra,3 – 5 years,Yes,"ChatGPT, Microsoft Copilot, Meta AI",3 -  I know a good amount about LLMs and can talk about it confidently,5,5,4,2,4,Yes,Mobile apps,Yes,Maybe,"Administrative writing, Language translation",Frequently,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Rarely,Frequently,Always,Frequently,Occasionally,Frequently,Frequently,60,120,4,5,3,3,5,4,3,3,4,3,No,,Easy access to credible information ,,
10,Male,26 – 35,Optometrist,Greater Accra,Less than 3 years,Maybe,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,4,4,5,1,4,Yes,Online Platforms or websites,Yes,Yes,"Medical information research, Administrative writing",Never,Frequently,Rarely,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Frequently,Rarely,Occasionally,"Rarely, Frequently",Occasionally,30,20,3,4,3,4,4,3,4,3,4,4,Neutral,,,"Tele-medicine 
Scheduling patients appointments 
Summarize important medical information 
Summarize details of conditions treatment and expected outcomes to patients ",
11,Male,26 – 35,Optometrist,Ashanti,Less than 3 years,Maybe,"ChatGPT, Microsoft Copilot, Meta AI, Gemini AI",2 -  I know a bit about LLMs but not a lot,4,4,5,1,4,Yes,Online Platforms or websites,Yes,Yes,"Medical information research, Administrative writing",Never,Frequently,Rarely,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Frequently,Rarely,Occasionally,"Rarely, Frequently",Occasionally,30,20,3,4,3,4,4,3,4,3,4,4,Neutral,,,"Tele-medicine 
Scheduling patients appointments 
Summarize important medical information 
Summarize details of conditions treatment and expected outcomes to patients ",
